The reward reflecting the individual reward of each state observation in a human's perspective is as follows:
- State observation: (HIPS, 0, 150, 0.87), Reward: $2.3693$
- State observation: (KNEE, 0, 250, 0.75)), Reward: $1.5299$
- State observation: (PUNK, 0, 400, 0.85)), Reward: $1.1597$
- State observation: (ROCKS, 0, 600, 0.8))), Reward: $1.3299$
- State observation: (SCIENCE-fictional, 0, 800, 0.8))), Reward: $1.5299$
- State observation: (SIEMENS-TIME, 0, 140, 0.75)), Reward: $1.5299$
- State observation: (SMART-TECH, 0, 250, 0.85)), Reward: $1.5299$
- State observation: (STAR-WARS, 0, 400, 0.85)), Reward: $1.5299$
- State observation: (SUPER-HUNTER, 0, 600, 0.85)), Reward: $1.5299$
- State observation: (SWARMED-THINGS, 0, 140, 0.75)), Reward: $1.5299$
- State observation: (TNG-BHIDAYAN, 0, 600, 0.85)), Reward: $1.5299$
- State observation: (WEEKLY, 0, 360, 0.75)), Reward: $1.5299$
- State observation: (MONTHLY, 0, 432, 0.75)), Reward: $1.5299$
